STATE,NAME,District,EMP_2011,EMP_2001,MSW_2011,MSW_2001,BF_2011,BF_2001,MSL_2011,MSL_2001,FC_2011,FC_2001,CHH_2011,CHH_2001,F_EMP_2001,F_EMP_2011,EMP_change,MSW_change,BF_change,MSL_change,FC_change,CHH_change,F_EMP_change,Asset_2001,Asset_2011,Asset_Change
1,Kupwara,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,2,2,1,3,2,2,2,1,1,2
1,Badgam,2,1,1,3,3,1,2,3,3,1,2,2,1,2,1,2,2,1,2,1,3,1,1,2,3
1,Leh (Ladakh),3,3,3,1,1,2,2,3,3,3,3,2,1,3,1,2,2,2,2,2,3,1,1,2,3
1,Kargil,4,3,3,3,1,3,2,3,3,1,2,1,1,3,1,2,3,3,2,1,2,1,1,1,2
1,Punch,5,1,2,1,1,1,1,3,2,1,1,1,1,3,1,1,2,2,3,2,2,1,1,1,2
1,Rajauri,6,1,1,1,1,1,1,3,2,1,1,2,1,3,1,2,2,2,3,2,3,1,1,1,2
1,Kathua,7,1,1,3,3,1,1,3,3,1,1,3,2,2,1,2,2,2,2,2,3,1,1,2,3
1,Baramula,8,1,1,3,1,1,2,3,3,1,1,2,1,1,1,2,3,1,2,2,3,2,1,2,3
1,Srinagar,10,3,3,3,3,3,2,3,3,3,3,3,2,1,1,2,2,3,2,2,3,2,2,3,3
1,Pulwama,12,1,1,3,3,3,2,3,3,1,2,2,1,1,1,2,2,3,2,1,3,2,1,2,3
1,Anantnag,14,1,1,3,1,1,2,3,3,1,1,2,1,1,1,2,3,1,2,2,3,2,1,2,3
1,Doda,16,1,2,3,3,1,1,3,2,1,1,2,1,3,1,1,2,2,3,2,3,1,1,1,2
1,Udhampur,19,1,2,1,1,1,1,3,2,1,1,2,2,3,1,1,2,2,3,2,2,1,1,2,3
1,Jammu,21,3,3,3,3,3,2,3,3,3,3,3,2,1,1,2,2,3,2,2,3,2,2,3,3
2,Chamba,23,2,2,3,3,3,1,3,3,1,1,3,2,3,1,2,2,3,2,2,3,1,1,2,3
2,Kangra,24,3,1,3,3,3,1,3,3,1,1,3,3,3,1,3,2,3,2,2,2,1,2,3,3
2,Lahul & Spiti,25,2,2,3,3,3,2,3,3,1,1,3,2,3,1,2,2,3,2,2,3,1,1,3,3
2,Kullu,26,2,2,3,3,3,1,3,3,1,1,3,3,3,1,2,2,3,2,2,2,1,1,2,3
2,Mandi,27,2,2,3,3,3,1,3,3,1,1,3,3,3,1,2,2,3,2,2,2,1,2,3,3
2,Hamirpur,28,2,2,3,3,3,1,3,3,1,1,3,3,2,1,2,2,3,2,2,2,1,2,3,3
2,Una,29,3,1,3,3,3,1,3,3,1,1,3,2,3,1,3,2,3,2,2,3,1,2,3,3
2,Bilaspur,30,2,2,3,3,3,1,3,3,1,1,3,3,3,1,2,2,3,2,2,2,1,2,3,3
2,Solan,31,2,2,3,3,3,1,3,3,3,1,3,2,3,1,2,2,3,2,3,3,1,2,3,3
2,Sirmaur,32,2,2,3,3,3,1,3,3,1,1,3,2,3,1,2,2,3,2,2,3,1,1,2,3
2,Shimla,33,2,2,3,3,3,1,3,3,3,3,3,3,3,1,2,2,3,2,2,2,1,2,3,3
2,Kinnaur,34,2,2,3,3,3,1,3,3,3,3,3,2,3,1,2,2,3,2,2,3,1,2,2,2
3,Gurdaspur,35,3,3,2,2,3,1,3,3,3,3,2,2,1,1,2,2,3,2,2,2,2,3,3,2
3,Kapurthala,36,3,3,3,2,3,2,3,3,3,3,2,3,1,1,2,3,3,2,2,1,2,3,3,2
3,Jalandhar,37,3,3,3,2,3,2,3,3,3,3,2,2,1,1,2,3,3,2,2,2,2,3,3,2
