,District,label
0,203,0
1,204,1
2,205,0
3,206,0
4,207,2
5,208,0
6,209,1
7,210,0
8,211,3
9,212,1
10,213,0
11,214,0
12,215,0
13,216,1
14,217,0
15,218,1
16,219,1
17,220,1
18,221,1
19,222,1
20,223,0
21,224,0
22,225,2
23,226,2
24,227,1
25,228,1
26,229,1
27,230,0
28,231,2
29,232,0
30,233,0
31,234,0
32,235,0
33,236,0
34,237,1
35,238,2
36,239,0
37,240,0
38,370,2
39,371,1
40,372,1
41,373,0
42,374,1
43,375,0
44,376,0
45,377,0
46,378,0
47,379,0
48,380,0
49,381,3
50,382,0
51,383,1
52,384,2
53,385,2
54,386,1
55,387,3
56,388,1
57,389,0
58,390,0
59,391,1
60,392,2
61,393,0
62,394,0
63,395,1
64,396,0
65,397,2
66,398,1
67,399,2
68,468,2
69,469,3
70,470,3
71,471,2
72,472,3
73,473,3
74,474,1
75,475,1
76,476,1
77,477,0
78,478,0
79,479,2
80,480,1
81,481,0
82,482,1
83,483,3
84,484,0
85,485,0
86,486,3
87,487,1
88,488,3
89,489,3
90,490,3
91,491,2
92,492,3
93,493,1
94,497,2
95,498,3
96,499,0
97,500,1
98,501,1
99,502,1
100,503,1
101,504,0
102,505,2
103,506,1
104,507,0
105,508,2
106,509,1
107,510,1
108,511,2
109,512,1
110,513,2
111,514,3
112,515,2
113,516,2
114,517,0
115,520,2
116,521,2
117,522,2
118,523,1
119,524,0
120,525,1
121,526,2
122,527,3
123,528,3
124,529,0
125,530,2
126,531,3
127,555,2
128,556,2
129,557,2
130,558,0
131,559,1
132,560,1
133,561,2
134,562,0
135,563,2
136,564,0
137,565,2
138,566,2
139,567,1
140,568,3
141,569,0
142,570,3
143,571,3
144,572,2
145,573,1
146,574,0
147,575,3
148,576,3
149,577,0
150,578,0
151,579,0
152,580,2
153,581,2
154,582,2
155,583,2
156,584,0
157,588,2
158,589,1
159,590,0
160,591,3
161,592,0
162,593,3
163,594,0
164,595,0
165,596,0
166,597,1
167,598,3
168,599,1
169,600,1
170,601,2
