,District,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSW_RUD,MSW_INT,MSW_ADV,MSL_RUD,MSL_INT,MSL_ADV,EMP_UN,EMP_AL,EMP_NAL
0,203,4,0,2,4,1,0,2,3,0,1,5,0,4,2,0,0,0,0
1,204,4,1,2,0,1,0,3,2,0,3,0,2,4,2,0,3,4,0
2,205,4,0,0,2,2,2,1,0,2,2,0,2,4,2,3,2,2,2
3,206,0,2,2,1,1,1,2,3,0,0,1,4,4,2,0,1,0,0
4,207,0,2,4,1,1,3,1,0,0,1,2,1,4,2,5,0,0,0
5,208,4,0,4,3,3,1,1,0,2,2,4,4,4,2,1,0,0,0
6,209,4,0,2,1,1,0,3,2,2,1,3,4,4,2,1,0,0,0
7,210,0,5,4,3,2,3,1,0,4,0,1,1,1,4,4,0,4,0
8,211,0,0,1,0,0,0,3,0,3,0,1,0,1,4,4,0,0,0
9,212,1,3,0,4,1,1,3,0,1,4,2,2,3,1,0,0,0,1
10,213,3,2,0,2,1,0,3,0,0,1,1,1,4,2,3,0,0,0
11,214,0,5,4,4,2,1,1,0,2,1,3,0,1,4,4,2,3,0
12,215,0,2,4,2,3,0,1,0,0,0,1,1,4,2,0,2,0,0
13,216,4,4,2,2,3,1,3,2,0,4,1,1,4,2,0,2,0,0
14,217,4,0,2,3,2,2,2,3,0,2,5,0,0,2,2,2,0,0
15,218,4,3,2,2,2,2,3,2,0,1,3,2,4,2,0,2,2,0
16,219,4,4,2,2,3,3,2,3,0,0,1,5,4,2,0,2,4,0
17,220,4,1,2,2,3,2,0,1,0,0,1,2,4,2,0,2,0,0
18,221,4,1,2,1,3,3,1,0,0,1,3,1,4,2,0,2,0,0
19,222,0,0,4,2,1,0,3,0,0,4,0,1,4,2,0,2,4,0
20,223,0,5,4,2,1,0,1,0,0,4,0,3,4,2,0,1,0,0
21,224,4,0,2,0,1,0,1,0,0,4,2,3,4,2,0,2,0,0
22,225,3,4,0,4,1,0,2,3,0,1,5,0,4,2,1,0,0,3
23,226,4,0,4,2,1,0,3,2,0,4,2,2,4,2,0,2,0,0
