,District,District_HHD_Cluster_MSL,District_HHD_Cluster_MSW,District_HHD_Cluster_CHH,District_HHD_Cluster_FC,District_HHD_Cluster_BF,District_HHD_Cluster_EMP
0,203,1,2,3,2,1,1
1,204,1,2,3,2,1,1
2,205,1,2,2,2,1,1
3,206,1,2,3,2,1,1
4,207,1,2,2,2,1,1
5,208,1,2,3,2,1,2
6,209,1,2,3,2,1,2
7,210,1,2,3,2,1,1
8,211,1,2,3,2,1,1
9,212,1,2,3,2,1,1
10,213,1,2,3,2,1,2
11,214,1,2,3,2,1,1
12,215,1,2,3,2,1,1
13,216,1,2,3,2,1,1
14,217,1,2,3,2,1,1
15,218,1,2,3,2,1,1
16,219,1,2,3,2,1,1
17,220,1,2,3,2,1,1
18,221,1,2,3,2,1,1
19,222,1,2,3,2,1,1
20,223,1,2,3,2,1,1
21,224,1,2,3,2,1,1
22,225,1,2,3,2,1,1
23,226,1,2,3,2,1,1
24,227,1,2,3,2,1,1
25,228,1,2,3,2,1,1
26,229,1,2,3,2,1,1
27,230,2,2,2,3,3,1
28,231,1,2,3,2,1,1
29,232,1,2,3,2,1,1
30,233,1,2,3,2,1,1
31,234,1,2,3,2,1,1
32,235,1,2,3,2,1,1
33,236,1,2,3,2,1,1
34,237,1,2,3,2,1,1
35,238,1,1,3,2,1,2
36,239,1,2,3,2,1,1
37,240,1,2,3,2,1,1
38,370,2,2,3,1,1,2
39,371,2,2,3,2,1,3
40,372,2,2,3,1,1,3
41,373,1,2,3,1,1,2
42,374,2,2,3,1,1,3
43,375,1,2,3,1,1,1
44,376,1,1,3,1,1,2
45,377,2,2,3,2,1,1
46,378,2,2,3,2,1,1
47,379,2,2,3,2,1,1
48,380,2,2,3,2,1,1
49,381,2,2,3,2,1,3
50,382,2,2,3,2,1,1
51,383,2,1,3,1,1,1
52,384,2,1,3,1,1,1
53,385,2,1,3,1,1,1
54,386,3,1,2,3,3,3
55,387,2,2,3,2,1,1
56,388,2,1,3,1,1,1
57,389,2,1,3,1,1,2
58,390,1,1,3,1,1,2
59,391,1,2,3,1,1,2
60,392,1,2,3,1,1,2
61,393,1,2,3,1,1,1
62,394,1,2,3,1,1,2
63,395,1,2,3,1,1,2
64,396,1,2,3,1,1,2
65,397,1,2,3,1,1,2
66,398,1,2,3,1,1,2
67,399,1,2,3,1,1,2
68,468,3,3,1,3,3,3
69,469,3,3,1,1,1,1
70,470,3,3,1,1,3,1
71,471,3,3,1,3,3,1
72,472,3,3,1,1,1,2
73,473,3,3,1,3,3,3
74,474,3,3,1,3,3,3
75,475,3,3,1,1,1,1
76,476,3,3,1,3,3,3
77,477,3,3,1,3,3,3
78,478,3,3,1,3,3,3
79,479,3,3,1,1,3,1
80,480,3,3,1,3,3,1
81,481,3,3,1,3,3,3
82,482,3,3,1,3,3,1
83,483,3,3,1,1,1,1
84,484,3,2,2,1,1,2
85,485,3,1,2,1,1,2
86,486,3,3,1,3,3,3
87,487,3,2,2,1,1,2
88,488,3,3,1,3,3,1
89,489,2,2,1,1,1,2
90,490,3,3,1,3,3,3
91,491,3,2,1,3,3,3
92,492,3,3,1,3,3,3
93,493,3,2,1,1,1,2
94,497,2,3,2,1,1,2
95,498,3,3,1,1,1,2
96,499,3,3,1,3,1,2
97,500,3,3,2,1,1,2
98,501,3,3,2,1,1,1
99,502,3,1,2,1,1,2
100,503,3,3,2,1,3,1
101,504,3,3,2,3,3,2
102,505,3,3,1,3,3,3
103,506,3,3,2,1,2,2
104,507,3,1,2,1,2,2
105,508,2,1,2,1,1,2
106,509,3,3,2,1,1,2
107,510,2,3,2,1,1,2
108,511,3,3,2,1,1,2
109,512,2,2,2,1,1,2
110,513,3,2,2,1,1,2
111,514,3,3,2,1,1,2
112,515,3,3,1,3,3,1
113,516,3,3,1,3,3,2
114,517,3,3,1,3,3,3
115,520,3,3,1,3,3,3
116,521,3,3,1,3,3,3
117,522,3,3,1,1,1,2
118,523,3,3,2,1,1,2
119,524,3,3,2,1,1,2
120,525,2,3,2,1,1,2
121,526,2,3,1,1,1,2
122,527,3,3,1,3,2,2
123,528,3,3,1,1,3,1
124,529,3,1,1,1,3,1
125,530,3,3,1,3,3,1
126,531,3,3,1,3,3,2
127,555,3,3,1,1,1,2
128,556,3,3,2,1,1,2
129,557,3,3,2,1,1,2
130,558,3,3,2,1,1,1
131,559,3,3,2,1,1,2
132,560,3,3,2,1,1,2
133,561,3,3,2,1,1,2
134,562,3,3,1,3,3,3
135,563,3,1,2,1,3,3
136,564,3,3,2,1,1,2
137,565,3,3,1,1,1,2
138,566,3,3,2,1,1,2
139,567,3,3,2,1,1,2
140,568,3,3,2,1,2,1
141,569,3,1,1,1,3,3
142,570,3,3,2,1,2,2
143,571,3,3,2,1,1,2
144,572,3,3,1,3,3,3
145,573,3,3,2,1,1,2
146,574,3,3,2,1,2,2
147,575,3,1,1,3,3,3
148,576,3,1,2,1,3,3
149,577,3,3,1,3,3,3
150,578,3,3,2,1,1,2
151,579,3,3,1,1,1,1
152,580,3,3,2,1,1,2
153,581,3,3,1,1,1,1
154,582,3,3,1,1,1,2
155,583,3,3,1,3,2,3
156,584,3,3,2,1,2,2
157,588,3,1,1,1,3,3
158,589,3,1,1,1,3,3
159,590,3,1,2,1,3,1
160,591,3,1,1,1,3,3
161,592,3,1,1,1,3,3
162,593,3,1,1,1,2,3
163,594,3,1,1,3,3,3
164,595,3,3,1,3,3,3
165,596,3,1,2,1,2,2
166,597,3,1,1,1,2,3
167,598,3,1,1,3,2,3
168,599,3,1,1,1,2,3
169,600,3,1,1,3,2,3
170,601,3,1,1,1,2,3
